[2018-03-27T11:36:43+0200] DFHack 0.44.07-alpha1-0-g6f864f97 on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2018-03-27T11:37:42+0200] DFHack 0.44.07-alpha1-0-g6f864f97 on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-03-27T12:37:16+0200] DFHack 0.44.07-alpha1-0-g6f864f97 on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-03-27T13:55:47+0200] DFHack 0.44.07-alpha1-0-g6f864f97 on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-03-27T13:55:48+0200] DFHack 0.44.07-alpha1-0-g6f864f97 on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-03-30T12:44:47+0200] DFHack 0.44.08-alpha1-0-g2c9c935c on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-03-30T12:44:48+0200] DFHack 0.44.08-alpha1-0-g2c9c935c on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-03-30T13:29:45+0200] DFHack 0.44.08-alpha1-0-g2c9c935c on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-03-30T13:29:45+0200] DFHack 0.44.08-alpha1-0-g2c9c935c on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-04-03T11:40:40+0200] DFHack 0.44.09-alpha1-0-g573fcb4b on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-04-03T11:40:40+0200] DFHack 0.44.09-alpha1-0-g573fcb4b on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-04-03T15:05:36+0200] DFHack 0.44.09-alpha1-0-g573fcb4b on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-04-03T15:05:36+0200] DFHack 0.44.09-alpha1-0-g573fcb4b on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-04-03T15:09:59+0200] DFHack 0.44.09-alpha1-0-g573fcb4b on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-04-03T15:09:59+0200] DFHack 0.44.09-alpha1-0-g573fcb4b on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-04-03T16:45:21+0200] DFHack 0.44.09-alpha1-0-g573fcb4b on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-04-03T16:45:21+0200] DFHack 0.44.09-alpha1-0-g573fcb4b on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-04-04T13:11:10+0200] DFHack 0.44.09-alpha1-0-g573fcb4b on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-04-04T13:11:12+0200] DFHack 0.44.09-alpha1-0-g573fcb4b on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-04-04T14:27:12+0200] DFHack 0.44.09-alpha1-0-g573fcb4b on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-04-04T14:27:12+0200] DFHack 0.44.09-alpha1-0-g573fcb4b on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-04-04T14:28:24+0200] DFHack 0.44.09-alpha1-0-g573fcb4b on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-04-04T14:28:24+0200] DFHack 0.44.09-alpha1-0-g573fcb4b on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-04-04T16:46:51+0200] DFHack 0.44.09-alpha1-0-g573fcb4b on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-04-04T16:46:51+0200] DFHack 0.44.09-alpha1-0-g573fcb4b on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
